"combo","pop","order"
"K/A_Y/G",1,1
"Y/A_R",1,2
"A_B/N",1,3
"I/A_K/V",1,4
"A_N/N",1,5
"K/A_Y/B",1,6
"Y/A_G/N",1,7
"N/A_W/B",1,8
"W/A_V/G",1,9
"K/A_M/V",1,10
"M/A_V/R",1,11
"I/A_Y/V",1,12
"W/A_N/G",1,13
"R/A_V/W",1,14
"K/A_W",1,15
"B/A_B/Y",1,16
"N/A_K/G",1,17
"Y/A_I/V",1,18
"G/A_N/N",1,19
"V/A_R/B",1,20
"A_B/V",1,21
"K/A_N/B",1,22
"V/A_Y/R",1,23
"B/A_V/K",1,24
"G/A_R/K",1,25
"V/A_I/W",1,26
"V/A_K/N",1,27
"G/A_W/B",1,28
"W/A_R/K",1,29
"V/A_I/B",1,30
"R/A_W/V",1,31
"Y/A_K/G",1,32
"G/A_R/Y",1,33
"G/A_R/B",1,34
"K/A_M/V",1,35
"R/A_G",1,36
"V/A_I/I",1,37
"G/A_B/G",1,38
"K/A_Y",1,39
"B/A_M/V",1,40
"N/A_W/N",1,41
"Y/A_G/N",1,42
"W/A_W",1,43
"N/A_N/V",1,44
"A_W/Y",1,45
"Y/A_B",1,46
"A_R/Y",1,47
"K/A_R/N",1,48
"W/A_K/B",1,49
"R/A_G/B",1,50
"M/A_B/V",1,51
"R/A_W",1,52
"W/A_V",1,53
"N/A_K/Y",1,54
"B/A_G/B",1,55
"V/A_N/V",1,56
"N/A_G/V",1,57
"K/A_W",1,58
"V/A_G/N",1,59
"B/A_V/N",1,60
"A_B/N",1,61
"V/A_N/R",1,62
"B/A_B/Y",1,63
"G/A_W/Y",1,64
"M/A_V/R",1,65
"A_K/G",1,66
"W/A_R/W",1,67
"N/A_W/B",1,68
"B/A_G/R",1,69
"R/A_G/V",1,70
"W/A_G/B",1,71
"N/A_K/G",1,72
"V/A_W/M",1,73
"N/A_V/N",1,74
"B/A_V",1,75
"W/A_Y/N",1,76
"B/A_K/R",1,77
"N/A_Y",1,78
"V/A_Y/V",1,79
"K/A_Y/G",1,80
"N/A_G/W",1,81
"B/A_N/B",1,82
"B/A_N/Y",1,83
"R/A_N/Y",1,84
"Y/A_R",1,85
"R/A_Y/Y",1,86
"R/A_V",1,87
"A_Y/B",1,88
"G/A_W/K",1,89
"V/A_G/M",1,90
"B/A_W/B",1,91
"B/A_G/V",1,92
"R/A_N/N",1,93
"A_V/R",1,94
"V/A_B/Y",1,95
"A_K/R",1,96
"N/A_W/Y",1,97
"G/A_V/G",1,98
"B/A_B/N",1,99
"V/A_B/R",1,100
"Y/A_I/V",1,101
"N/A_Y/R",1,102
"V/A_R/W",1,103
"K/A_K",1,104
"N/A_V/Y",1,105
"N/A_B/R",1,106
"V/A_G/B",1,107
"R/A_I/V",1,108
"I/A_K/V",1,109
"V/A_K/M",1,110
"I/A_Y/V",1,111
"R/A_K",1,112
"R/A_W/R",1,113
"N/A_B",1,114
"B/A_W/Y",1,115
"V/A_G/K",1,116
"K/A_G/V",1,117
"Y/A_N/N",1,118
"A_K/V",1,119
"B/A_N/N",1,120
"A_V",1,121
"K/A_Y/V",1,122
"Y/A_B/Y",1,123
"A_M/V",1,124
"G/A_N/N",1,125
"R/A_B/V",1,126
"W/A_R/G",1,127
"W/A_W/K",1,128
"K/A_Y/B",1,129
"V/A_G/G",1,130
"K/A_W/N",1,131
"R/A_V/M",1,132
"R/A_R/G",1,133
"N/A_Y/G",1,134
"B/A_W/N",1,135
"K/A_G",1,136
"A_V/B",1,137
"Y/A_R/V",1,138
"R/A_G/G",1,139
"B/A_Y/B",1,140
"N/A_V/K",1,141
"V/A_K/I",1,142
"Y/A_V/W",1,143
"W/A_N/K",1,144
"G/A_N/Y",1,145
"A_B/K",1,146
"Y/A_K/V",1,147
"V/A_Y/B",1,148
"K/A_R/W",1,149
"G/A_V",1,150
"N/A_Y/V",1,151
"G/A_W/G",1,152
"B/A_Y/K",1,153
"V/A_Y/I",1,154
"A_V/W",1,155
"G/A_W",1,156
"I/A_V/I",1,157
"V/A_V/K",1,158
"R/A_V/B",1,159
"M/A_N/V",1,160
"W/A_V/K",1,161
"W/A_N/B",1,162
"G/A_B/K",1,163
"R/A_V/W",1,164
"G/A_Y/K",1,165
"Y/A_V/Y",1,166
"B/A_W/R",1,167
"A_N/K",2,1
"B/A_Y/R",2,2
"K/A_V/W",2,3
"I/A_M/V",2,4
"W/A_G/V",2,5
"V/A_G/W",2,6
"A_G/Y",2,7
"V/A_R/N",2,8
"R/A_Y/N",2,9
"B/A_I/V",2,10
"N/A_B/G",2,11
"K/A_W/V",2,12
"W/A_K/V",2,13
"V/A_K",2,14
"G/A_R/G",2,15
"Y/A_B/N",2,16
"Y/A_N/B",2,17
"G/A_V/N",2,18
"V/A_M/B",2,19
"M/A_V/K",2,20
"B/A_K",2,21
"N/A_R/N",2,22
"M/A_V/M",2,23
"I/A_V/R",2,24
"B/A_B/R",2,25
"K/A_N/N",2,26
"K/A_B/Y",2,27
"I/A_V/B",2,28
"N/A_Y/K",2,29
"V/A_G/W",2,30
"M/A_V/W",2,31
"B/A_W/K",2,32
"W/A_N/V",2,33
"W/A_W/Y",2,34
"R/A_B/Y",2,35
"G/A_W/V",2,36
"Y/A_W/Y",2,37
"B/A_R/Y",2,38
"G/A_Y/B",2,39
"A_B/W",2,40
"V/A_I",2,41
"R/A_V/K",2,42
"G/A_Y",2,43
"K/A_K/V",2,44
"Y/A_W/R",2,45
"B/A_Y/N",2,46
"A_N/B",2,47
"V/A_I/K",2,48
"B/A_R/V",2,49
"N/A_G/B",2,50
"G/A_G/W",2,51
"R/A_V/R",2,52
"A_K/B",2,53
"N/A_Y/Y",2,54
"V/A_M/B",2,55
"V/A_N/B",2,56
"K/A_R/R",2,57
"B/A_Y/R",2,58
"W/A_V/B",2,59
"R/A_N/G",2,60
"G/A_R/N",2,61
"A_N/V",2,62
"R/A_W/G",2,63
"K/A_W/K",2,64
"N/A_V/W",2,65
"V/A_Y",2,66
"V/A_K/G",2,67
"I/A_R/V",2,68
"B/A_G/G",2,69
"G/A_K/K",2,70
"K/A_G/N",2,71
"N/A_N/W",2,72
"M/A_R/V",2,73
"N/A_B/G",2,74
"G/A_Y/R",2,75
"G/A_Y/N",2,76
"W/A_G/G",2,77
"B/A_B/W",2,78
"V/A_R/Y",2,79
"V/A_K",2,80
"V/A_R/G",2,81
"V/A_R/K",2,82
"B/A_K/N",2,83
"M/A_V/V",2,84
"V/A_B/W",2,85
"R/A_B/G",2,86
"V/A_B/M",2,87
"Y/A_R/N",2,88
"V/A_Y/M",2,89
"G/A_K/W",2,90
"K/A_V",2,91
"Y/A_V/K",2,92
"W/A_W/R",2,93
"K/A_V/W",2,94
"R/A_V/G",2,95
"K/A_V/B",2,96
"V/A_I/G",2,97
"V/A_R/N",2,98
"R/A_Y/K",2,99
"A_Y/G",2,100
"V/A_M/V",2,101
"V/A_V/G",2,102
"I/A_V/K",2,103
"B/A_K/W",2,104
"Y/A_G",2,105
"V/A_B",2,106
"G/A_W/W",2,107
"R/A_V/I",2,108
"B/A_K/B",2,109
"V/A_N/W",2,110
"Y/A_W/N",2,111
"Y/A_V/N",2,112
"K/A_V/R",2,113
"K/A_N",2,114
"R/A_Y/N",2,115
"R/A_B/B",2,116
"M/A_V/N",2,117
"G/A_R/G",2,118
"K/A_Y/K",2,119
"A_W/R",2,120
"Y/A_V/M",2,121
"I/A_B/V",2,122
"N/A_N/Y",2,123
"R/A_W/K",2,124
"I/A_M/V",2,125
"W/A_R/R",2,126
"V/A_Y/Y",2,127
"K/A_R/K",2,128
"K/A_B",2,129
"V/A_N/N",2,130
"V/A_K/B",2,131
"R/A_R",2,132
"B/A_V/R",2,133
"W/A_G",2,134
"N/A_K",2,135
"B/A_Y/Y",2,136
"N/A_W/R",2,137
"V/A_M/R",2,138
"A_W/B",2,139
"W/A_G/V",2,140
"B/A_V/M",2,141
"Y/A_Y/V",2,142
"A_Y/K",2,143
"W/A_N/Y",2,144
"V/A_Y/W",2,145
"Y/A_N/B",2,146
"A_G/Y",2,147
"A_K/W",2,148
"G/A_K/Y",2,149
"V/A_K/V",2,150
"A_N/K",2,151
"B/A_I/V",2,152
"B/A_B/G",2,153
"W/A_Y/Y",2,154
"G/A_V/R",2,155
"W/A_N",2,156
"M/A_V/K",2,157
"W/A_V/Y",2,158
"R/A_Y/R",2,159
"N/A_R/V",2,160
"N/A_M/V",2,161
"W/A_K/V",2,162
"Y/A_B/N",2,163
"A_R/N",2,164
"V/A_G/Y",2,165
"M/A_W/V",2,166
"Y/A_N",2,167
"A_V/K",3,1
"Y/A_K/W",3,2
"W/A_Y/W",3,3
"G/A_V/W",3,4
"N/A_W/G",3,5
"G/A_B/W",3,6
"R/A_B/R",3,7
"Y/A_N/G",3,8
"Y/A_W/B",3,9
"V/A_Y/G",3,10
"B/A_N/G",3,11
"R/A_G/Y",3,12
"K/A_K/N",3,13
"M/A_M/V",3,14
"A_G/N",3,15
"N/A_R",3,16
"V/A_I/Y",3,17
"W/A_V/M",3,18
"W/A_K",3,19
"B/A_G",3,20
"A_Y/N",3,21
"R/A_R/N",3,22
"V/A_I/Y",3,23
"K/A_N/R",3,24
"K/A_N/Y",3,25
"M/A_M/V",3,26
"B/A_G/Y",3,27
"Y/A_R/Y",3,28
"V/A_M/G",3,29
"V/A_M/W",3,30
"W/A_V/R",3,31
"I/A_V/Y",3,32
"Y/A_Y/R",3,33
"Y/A_V/B",3,34
"N/A_G/G",3,35
"I/A_N/V",3,36
"B/A_W/W",3,37
"K/A_V/G",3,38
"A_N/W",3,39
"Y/A_W/G",3,40
"M/A_K/V",3,41
"W/A_Y/W",3,42
"G/A_N/G",3,43
"R/A_B",3,44
"K/A_B/W",3,45
"A_W/G",3,46
"K/A_I/V",3,47
"G/A_B",3,48
"A_G/R",3,49
"R/A_V/Y",3,50
"I/A_V/N",3,51
"G/A_G/K",3,52
"W/A_R/B",3,53
"B/A_R",3,54
"G/A_R/W",3,55
"A_I/V",3,56
"K/A_G/W",3,57
"W/A_V/N",3,58
"I/A_V/V",3,59
"Y/A_K/W",3,60
"A_G/N",3,61
"A_V/K",3,62
"V/A_N/G",3,63
"V/A_M",3,64
"W/A_W/B",3,65
"V/A_R/V",3,66
"Y/A_G/V",3,67
"V/A_B/G",3,68
"G/A_B/B",3,69
"B/A_N/W",3,70
"R/A_Y",3,71
"V/A_W/N",3,72
"Y/A_Y/G",3,73
"V/A_G/R",3,74
"G/A_B/W",3,75
"B/A_K/G",3,76
"K/A_V/Y",3,77
"G/A_G",3,78
"A_Y/V",3,79
"N/A_B/W",3,80
"R/A_Y/V",3,81
"B/A_G/N",3,82
"Y/A_B/V",3,83
"V/A_I/V",3,84
"V/A_Y/G",3,85
"Y/A_V",3,86
"W/A_N/R",3,87
"G/A_K",3,88
"V/A_W/G",3,89
"A_G/K",3,90
"K/A_K/W",3,91
"B/A_B/V",3,92
"K/A_R",3,93
"R/A_W/Y",3,94
"A_G/B",3,95
"W/A_G/K",3,96
"B/A_V/Y",3,97
"V/A_V",3,98
"B/A_B",3,99
"Y/A_V/G",3,100
"N/A_K/R",3,101
"N/A_R",3,102
"W/A_R",3,103
"G/A_N/V",3,104
"N/A_K/N",3,105
"B/A_K/V",3,106
"G/A_M/V",3,107
"K/A_V/K",3,108
"B/A_N/V",3,109
"V/A_V/V",3,110
"I/A_I/V",3,111
"Y/A_N/K",3,112
"Y/A_Y/K",3,113
"K/A_K/Y",3,114
"A_G/V",3,115
"W/A_I/V",3,116
"N/A_G/Y",3,117
"R/A_B/K",3,118
"V/A_N/Y",3,119
"K/A_V/V",3,120
"G/A_Y/W",3,121
"G/A_Y/V",3,122
"R/A_R/Y",3,123
"N/A_N",3,124
"G/A_V/W",3,125
"W/A_G/Y",3,126
"V/A_B/K",3,127
"N/A_R/Y",3,128
"W/A_G/R",3,129
"W/A_Y/R",3,130
"N/A_W",3,131
"Y/A_W/V",3,132
"V/A_V/R",3,133
"Y/A_W/B",3,134
"Y/A_Y/B",3,135
"K/A_B/K",3,136
"K/A_R/Y",3,137
"G/A_V/M",3,138
"N/A_Y/W",3,139
"N/A_V/B",3,140
"B/A_V/W",3,141
"G/A_I/V",3,142
"W/A_V/M",3,143
"Y/A_N/G",3,144
"I/A_V",3,145
"B/A_V/G",3,146
"A_N",3,147
"W/A_K",3,148
"B/A_N/K",3,149
"N/A_B/V",3,150
"N/A_W/G",3,151
"Y/A_W/K",3,152
"V/A_M/Y",3,153
"R/A_G/Y",3,154
"A_V/V",3,155
"K/A_R/B",3,156
"I/A_V/G",3,157
"Y/A_G/B",3,158
"V/A_Y/N",3,159
"W/A_M/V",3,160
"G/A_Y/Y",3,161
"B/A_N/G",3,162
"R/A_W/N",3,163
"G/A_G/V",3,164
"V/A_V/B",3,165
"B/A_G",3,166
"R/A_B/R",3,167
"R/A_V/V",4,1
"N/A_Y/B",4,2
"V/A_Y/K",4,3
"R/A_G/N",4,4
"A_R/K",4,5
"K/A_G/K",4,6
"Y/A_K/B",4,7
"Y/A_V/R",4,8
"V/A_W",4,9
"V/A_R/I",4,10
"Y/A_M/V",4,11
"N/A_B/Y",4,12
"B/A_K/Y",4,13
"W/A_Y/K",4,14
"N/A_N/B",4,15
"I/A_V/M",4,16
"M/A_I/V",4,17
"A_R/W",4,18
"G/A_N/K",4,19
"N/A_N/R",4,20
"Y/A_W",4,21
"R/A_G/R",4,22
"V/A_M/K",4,23
"R/A_K/Y",4,24
"I/A_W/V",4,25
"B/A_W/G",4,26
"K/A_B/N",4,27
"Y/A_N/Y",4,28
"V/A_B/V",4,29
"N/A_B/Y",4,30
"Y/A_Y/N",4,31
"A_Y/W",4,32
"V/A_W/R",4,33
"A_R/V",4,34
"W/A_Y",4,35
"G/A_R/V",4,36
"A_Y/R",4,37
"B/A_K/K",4,38
"K/A_G/K",4,39
"M/A_V/B",4,40
"W/A_B",4,41
"K/A_B/R",4,42
"K/A_V/M",4,43
"G/A_K/B",4,44
"A_R/W",4,45
"G/A_G/B",4,46
"G/A_Y/G",4,47
"R/A_N/R",4,48
"G/A_N/W",4,49
"B/A_V/I",4,50
"Y/A_V/R",4,51
"W/A_Y/V",4,52
"V/A_N",4,53
"Y/A_M/V",4,54
"V/A_W/I",4,55
"N/A_V/M",4,56
"W/A_B/Y",4,57
"V/A_W/Y",4,58
"W/A_V/V",4,59
"R/A_V/V",4,60
"B/A_Y/G",4,61
"V/A_V/N",4,62
"G/A_R",4,63
"W/A_Y/G",4,64
"B/A_W/V",4,65
"G/A_V/Y",4,66
"K/A_V/N",4,67
"W/A_K/W",4,68
"N/A_K/V",4,69
"N/A_K/W",4,70
"R/A_G/K",4,71
"V/A_Y/K",4,72
"K/A_Y/R",4,73
"A_K/N",4,74
"G/A_G/Y",4,75
"M/A_V",4,76
"R/A_K/V",4,77
"Y/A_V/V",4,78
"V/A_K/W",4,79
"G/A_W/N",4,80
"Y/A_K/R",4,81
"N/A_V/V",4,82
"V/A_W/W",4,83
"G/A_V/V",4,84
"K/A_V/I",4,85
"R/A_R/K",4,86
"V/A_N/K",4,87
"W/A_R/Y",4,88
"W/A_R/V",4,89
"W/A_K/K",4,90
"N/A_N/R",4,91
"K/A_Y/N",4,92
"R/A_G/N",4,93
"K/A_K/R",4,94
"N/A_V/I",4,95
"V/A_M/M",4,96
"V/A_R/R",4,97
"V/A_V/I",4,98
"N/A_G/N",4,99
"V/A_V/M",4,100
"G/A_N/B",4,101
"V/A_W",4,102
"V/A_K/K",4,103
"M/A_Y/V",4,104
"N/A_R/W",4,105
"V/A_G",4,106
"A_V/I",4,107
"W/A_G/W",4,108
"Y/A_N/W",4,109
"G/A_V/K",4,110
"V/A_I/N",4,111
"G/A_N/K",4,112
"V/A_W/K",4,113
"G/A_K/N",4,114
"W/A_K/R",4,115
"B/A_V/B",4,116
"N/A_V/G",4,117
"K/A_B/B",4,118
"R/A_Y/B",4,119
"W/A_W/V",4,120
"M/A_V/Y",4,121
"K/A_B/V",4,122
"A_W/N",4,123
"R/A_M/V",4,124
"A_V/M",4,125
"R/A_R/V",4,126
"A_N/R",4,127
"K/A_K/B",4,128
"G/A_V/I",4,129
"Y/A_K/N",4,130
"V/A_V/W",4,131
"B/A_G/K",4,132
"R/A_V/N",4,133
"V/A_I/R",4,134
"R/A_N/B",4,135
"N/A_B/N",4,136
"K/A_N/V",4,137
"G/A_N",4,138
"V/A_R",4,139
"V/A_R/I",4,140
"R/A_N",4,141
"N/A_V",4,142
"I/A_V/M",4,143
"Y/A_N/R",4,144
"N/A_N/G",4,145
"W/A_Y/K",4,146
"K/A_Y/W",4,147
"K/A_R/V",4,148
"Y/A_V/I",4,149
"B/A_K/Y",4,150
"N/A_R/R",4,151
"B/A_W",4,152
"V/A_N/M",4,153
"B/A_Y/W",4,154
"G/A_B/Y",4,155
"N/A_N/B",4,156
"Y/A_K",4,157
"B/A_G/W",4,158
"G/A_B/N",4,159
"A_B/Y",4,160
"M/A_I/V",4,161
"N/A_G/R",4,162
"I/A_V/W",4,163
"A_V/N",4,164
"N/A_V/R",4,165
"Y/A_N/V",4,166
"B/A_N/R",4,167
